"Code","Libellé","Nb total de séjours/séances","Nb de séjourshors GHM en J ou T et séances","DMS (en nuitée)hors GHM en J ou Tet séances","Nb de séjoursGHM en J ou T hors séances","Nb de nuitéesen GHM J ou T","Nb de séances"
"F10","Troubles mentaux et du comportement liés à l'utilisation d'alcool","121 663","79 320","3,11","42 343","5 906","0"
"F11","Troubles mentaux et du comportement liés à l'utilisation d'opiacés","2 844","1 080","6,90","1 764","277","0"
"F12","Troubles mentaux et du comportement liés à l'utilisation de dérivés du cannabis","3 818","1 719","3,96","2 099","475","0"
"F13","Troubles mentaux et du comportement liés à l'utilisation de sédatifs ou d'hypnotiques","1 493","890","5,20","603","144","0"
"F14","Troubles mentaux et du comportement liés à l'utilisation de cocaïne","4 350","1 970","5,36","2 380","268","0"
"F15","Troubles mentaux et du comportement liés à l'utilisation d'autres stimulants, y compris la caféine","389","236","3,27","153","22","0"
"F16","Troubles mentaux et du comportement liés à l'utilisation d'hallucinogènes","156","122","2,07","34","24","0"
"F17","Troubles mentaux et du comportement liés à l'utilisation de tabac","1 262","160","10,69","1 102","29","0"
"F18","Troubles mentaux et du comportement liés à l'utilisation de solvants volatils","39","32","6,38","1 à 10","1 à 10","0"
"F19","Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives","5 502","1 257","7,05","4 245","335","0"
"","Total","141 516","86 786","","54 730","","0"
