Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
D440,Tumeur à évolution imprévisible ou inconnue de la thyroïde,1 176,432,"1,99",744,1 à 10,0
D441,Tumeur à évolution imprévisible ou inconnue de la surrénale,925,725,"4,48",200,87,0
D442,Tumeur à évolution imprévisible ou inconnue d'une parathyroïde,32,23,"3,35",1 à 10,0,0
D443,Tumeur à évolution imprévisible ou inconnue de l'hypophyse,329,257,"5,44",72,20,0
D4440,Craniopharyngiome,390,345,"9,35",45,12,0
D445,Tumeur à évolution imprévisible ou inconnue de l'épiphyse,34,25,"11,52",1 à 10,1 à 10,0
D446,Tumeur à évolution imprévisible ou inconnue du corpuscule carotidien,50,38,"3,82",12,1 à 10,0
D447,Tumeur à évolution imprévisible ou inconnue du glomus aortique et autres paraganglions,197,131,"5,08",66,1 à 10,0
D448,Tumeur à évolution imprévisible ou inconnue de plusieurs glandes endocrines,135,61,"5,16",74,1 à 10,0
"",Total,3 275,2 044,"",1 231,"",0
