Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
P20,Hypoxie intra-utérine,1 837,1 837,"5,00",0,0,0
P21,Asphyxie obstétricale,1 818,1 818,"6,44",0,0,0
P22,Détresse respiratoire du nouveau-né,17 807,17 807,"13,80",0,0,0
P23,Pneumopathie congénitale,22,21,"6,86",1 à 10,0,0
P24,Syndromes néonatals d'aspiration,472,472,"7,65",0,0,0
P25,Emphysème interstitiel et affections apparentées survenant pendant la période périnatale,484,484,"6,85",0,0,0
P27,Maladies respiratoires chroniques survenant pendant la période périnatale,279,278,"31,14",1 à 10,0,0
P28,Autres affections respiratoires survenant pendant la période périnatale,2 271,2 251,"6,93",20,0,0
P29,Affections cardio-vasculaires survenant pendant la période périnatale,858,799,"7,57",59,22,0
"",Total,25 854,25 773,"",81,"",0
